iris_code,rf_score
920620403,81.9
781230104,33.4
920440118,49.3
751051906,95.4
751145507,81.1
920760102,41.4
751072503,79.1
751187107,87.3
940760120,59.4
751114406,91.6
751031204,94.0
751093306,97.8
751041602,80.0
930640112,43.0
914210101,50.3
930270119,30.2
751103909,51.5
786460407,84.0
920260503,64.2
955850108,11.1
930610104,78.4
930390102,70.9
751020702,97.9
751020703,96.5
772510104,30.1
751208010,83.6
751052002,95.2
751114411,94.9
751114412,96.9
930060114,79.3
772850301,48.5
751124507,90.9
955550108,70.0
751208014,95.6
751020805,93.3
751072703,65.2
751124804,91.5
786460603,68.4
952770201,39.0
912230104,45.8
920440120,69.0
930530115,35.7
920240403,79.0
751135110,54.8
930620101,40.5
930630106,78.9
930640113,19.6
940800202,89.7
784980105,51.8
751155718,90.1
751155723,83.5
751155724,85.5
940810302,78.4
751156002,88.6
930660904,81.5
930140106,28.5
930710108,59.2
920730112,79.5
920730115,50.4
751166306,83.7
920750104,74.4
913120101,41.1
751166310,59.8
786860107,74.2
786860108,57.2
751176512,85.5
751176809,97.5
751186913,79.8
751187006,73.0
930790101,28.4
930550201,76.6
751197411,79.8
915210108,66.9
751197521,96.4
920120301,84.2
751207709,71.7
920120505,64.3
920510201,82.3
940380111,30.0
940380112,35.0
751062302,62.4
751207815,96.7
773050102,51.7
920440117,91.9
772880603,59.1
773730102,56.8
952180102,28.9
940800203,88.8
952520113,24.6
952520114,24.2
953880101,33.7
940800205,54.5
774450301,48.7
952520115,36.5
930010101,77.9
940550102,37.7
952500102,24.8
751104011,96.6
771080503,54.4
930010901,55.8
940810108,37.4
780150102,49.4
940800204,73.8
751103805,96.0
781460112,57.2
952680112,27.2
781260107,59.3
781580109,78.3
955850121,22.5
781460101,35.6
782970105,53.0
913400103,28.0
751051804,93.0
786460403,72.8
771520201,49.7
770670101,67.5
751114104,91.7
920490111,66.1
772150103,61.6
930060113,86.7
784900105,33.3
911610107,58.2
784980108,47.5
940580111,66.0
751051905,93.6
772430102,65.3
940220111,64.3
772580201,55.0
751145504,87.9
772960106,35.0
773050202,55.9
751124502,86.8
930140105,25.0
751062101,94.9
786460103,75.1
751010201,89.0
773370206,72.3
751062102,94.7
773490102,64.9
773500402,36.0
751155812,94.7
911610102,54.6
773790201,64.0
912230107,55.0
774070102,63.0
913260201,75.8
952520110,10.3
920620402,54.4
751114408,98.1
940540102,33.5
774450401,72.7
930070114,40.1
772430202,36.8
774680101,32.8
910270108,71.9
751124503,85.1
751124504,81.3
751124508,56.9
751093609,96.6
751093608,95.1
780050106,46.0
751124803,96.2
751124805,97.0
751124806,94.9
781230105,19.1
751135011,81.2
751135013,78.5
781260109,40.0
781260110,28.9
751135020,86.4
920200102,68.0
783610113,20.2
751135027,89.5
751135113,86.2
954270101,77.8
751135122,86.4
751135124,88.3
930010601,83.2
751135206,93.2
751145306,93.0
782670102,49.9
751145514,89.8
751145610,77.3
783110403,35.4
751155701,88.6
915700103,30.5
751135107,50.5
783500102,49.3
930720109,20.4
783580102,53.0
783610105,7.8
783610107,12.6
920750109,77.1
751155728,46.6
785450107,49.0
751155906,76.7
751155914,83.7
920040302,72.6
751156017,53.0
930310203,66.8
751166115,87.5
751166116,41.6
930480104,89.0
951760104,34.0
773370203,64.2
751166216,78.4
954280203,39.0
751166311,80.4
930011102,76.5
786420102,59.3
786460207,53.0
786860103,43.0
954280204,40.7
911030107,49.6
911050102,54.1
920480212,33.0
751176714,91.8
751176716,88.7
930450110,68.5
912280113,32.0
912280114,50.7
912280115,64.2
912280116,63.7
912860108,17.5
751187209,89.7
751197301,90.5
751197302,84.9
751197304,97.1
751197311,95.3
751197317,47.8
751197410,92.8
751134904,51.3
940680103,63.0
751197511,89.4
751197512,79.3
751197522,88.1
914770105,59.8
920500102,51.0
751197615,93.4
920250104,81.1
920120601,81.3
915730103,27.6
751207802,95.6
916000101,56.0
751207905,91.4
751155716,86.1
952520108,56.2
751155717,90.5
751208011,76.1
950180204,62.2
751208020,91.5
916870108,38.3
916870111,25.5
920250303,64.1
956800103,12.3
920500801,37.0
920620101,81.3
920620103,79.2
920330104,14.9
930080114,58.7
930320108,38.8
930320109,47.8
930320110,50.0
930320111,17.0
930320107,42.9
930700102,75.6
940280404,24.7
930770106,65.0
930630104,77.2
930770107,69.0
940160107,69.1
940171201,20.6
940460302,69.0
751166307,51.4
940710110,33.4
940790109,73.8
940800104,83.1
950180301,32.1
950180604,46.0
950180605,11.9
950510101,52.5
950630101,44.7
751176510,89.6
751176513,83.5
950910101,34.1
916000103,44.5
930700112,87.7
920120302,77.2
930710105,9.0
952030110,63.0
