iris_code,nom_iris,commune,dept,type_iris,centroid_lon,centroid_lat,sitescore,score_concurrence,score_revenu,score_densite,score_accessibilite,score_potentiel,score_foncier,nb_concurrents_500m,nb_concurrents_1km,nb_concurrents_2km,revenu_median,densite_pop,pop_totale,potentiel_ca,prix_m2_median,prix_m2_moyen,nb_transactions,ca_potentiel_an,ca_potentiel_m2,part_marche_pct,rf_score,score_final
751051702,Saint-Victor 2,Paris 5e Arrondissement,75,H,2.353432119669693,48.84487388278354,29.2,10.0,41.0,20.0,95.0,9.0,10.0,35,98,353,32921,27849,1336,1015000.0,11882.0,12924.0,803,128180.0,107.0,5.0,92.3,60.8
920620403,Jaurès,Puteaux,92,H,2.244970838050807,48.88359413929405,24.3,10.0,45.0,2.0,65.0,2.0,30.0,25,59,126,35985,3358,345,262500.0,7061.0,8113.0,530,38122.0,32.0,5.0,81.9,53.1
751155902,Grenelle 2,Paris 15e Arrondissement,75,H,2.296566294536422,48.84583227779145,31.2,10.0,43.0,19.0,95.0,7.0,30.0,42,117,297,33894,25651,1051,798000.0,9464.0,9978.0,2815,100776.0,84.0,5.0,82.4,56.8
940680105,Adamville 5,Saint-Maur-des-Fossés,94,H,2.4799664241713253,48.79577407499325,31.4,10.0,50.0,6.0,80.0,17.0,50.0,12,30,61,39865,8840,2501,1902250.0,6060.0,8040.0,1302,276261.0,230.0,5.0,61.2,46.3
920260704,Montagne,Courbevoie,92,H,2.2601795679118184,48.89579453742623,26.9,10.0,48.0,2.0,65.0,2.0,50.0,18,54,183,37790,2753,352,267750.0,6667.0,7231.0,1009,38885.0,32.0,5.0,73.1,50.0
920260705,Sainte-Marie,Courbevoie,92,H,2.259436476710832,48.89301419000047,29.7,10.0,46.0,5.0,80.0,8.0,50.0,22,65,183,36206,7156,1216,924000.0,6667.0,7231.0,1009,134191.0,112.0,5.0,75.1,52.4
930450108,Villegranges,Les Lilas,93,H,2.4157833147622374,48.876090606339375,28.6,10.0,27.0,8.0,95.0,9.0,50.0,29,71,279,21553,11068,1339,1018500.0,6667.0,7418.0,198,113187.0,94.0,5.0,86.9,57.8
930450109,La Mairie,Les Lilas,93,H,2.416341929940814,48.87869056808403,21.0,10.0,19.0,2.0,65.0,2.0,50.0,24,61,247,15124,2344,260,197750.0,6667.0,7418.0,198,21976.0,18.0,5.0,83.8,52.4
930460101,Iris 1,Livry-Gargan,93,H,2.5142211729748385,48.91269894518173,25.6,20.0,19.0,2.0,65.0,5.0,70.0,3,5,26,15344,3363,803,610750.0,3215.0,5303.0,532,190046.0,158.0,14.0,44.1,34.8
930460102,Iris 2,Livry-Gargan,93,H,2.5110735302125944,48.91617179959826,34.5,20.0,40.0,7.0,80.0,18.0,70.0,2,4,34,32119,9277,2745,2087750.0,3215.0,5303.0,532,738228.0,615.0,14.0,24.7,29.6
930460103,Iris 3,Livry-Gargan,93,H,2.5171786513204326,48.91783462522737,26.9,20.0,24.0,3.0,65.0,11.0,70.0,2,11,34,18754,4769,1583,1204000.0,3215.0,5303.0,532,133802.0,112.0,5.0,32.9,29.9
930460104,Iris 4,Livry-Gargan,93,H,2.5192097121959613,48.92211309672743,27.7,10.0,23.0,5.0,80.0,15.0,70.0,4,9,43,17940,7345,2313,1758750.0,3215.0,5303.0,532,312724.0,261.0,8.0,28.9,28.3
930460105,Iris 5,Livry-Gargan,93,H,2.524147755734486,48.91657328539944,30.5,10.0,14.0,9.0,95.0,41.0,70.0,5,11,42,11435,12059,6101,4641000.0,3215.0,5303.0,532,515761.0,430.0,5.0,21.4,26.0
751051704,Saint-Victor 4,Paris 5e Arrondissement,75,H,2.3520336156044923,48.84876995164664,28.2,10.0,43.0,11.0,95.0,8.0,10.0,41,113,395,34328,14649,1274,967750.0,11882.0,12924.0,803,122213.0,102.0,5.0,98.4,63.3
751051705,Saint-Victor 5,Paris 5e Arrondissement,75,H,2.3517435368128323,48.85028554256165,28.7,10.0,35.0,22.0,95.0,14.0,10.0,39,107,415,27615,30585,2079,1580250.0,11882.0,12924.0,803,199563.0,166.0,5.0,94.1,61.4
751051907,Val de Grâce 7,Paris 5e Arrondissement,75,H,2.3461834313453247,48.842645163789264,27.8,10.0,41.0,10.0,95.0,11.0,10.0,52,113,354,32791,13588,1657,1260000.0,11882.0,12924.0,803,159120.0,133.0,5.0,94.3,61.0
751051908,Val de Grâce 8,Paris 5e Arrondissement,75,H,2.348615631533461,48.84138639433459,34.0,10.0,58.0,24.0,95.0,18.0,10.0,50,114,371,45994,32309,2681,2038750.0,11882.0,12924.0,803,296085.0,247.0,5.0,95.2,64.6
751052001,Sorbonne 1,Paris 5e Arrondissement,75,H,2.3472292337752227,48.84639109612838,31.0,10.0,50.0,16.0,95.0,15.0,10.0,60,104,367,39797,21920,2323,1767500.0,11882.0,12924.0,803,256692.0,214.0,5.0,93.8,62.4
751052003,Sorbonne 3,Paris 5e Arrondissement,75,H,2.3446750053660166,48.851699985853074,27.1,10.0,33.0,16.0,95.0,11.0,10.0,45,118,369,26468,21561,1703,1295000.0,11882.0,12924.0,803,163540.0,136.0,5.0,88.2,57.6
751083001,Faubourg du Roule 1,Paris 8e Arrondissement,75,H,2.299548538698517,48.8755217733534,28.2,10.0,21.0,25.0,95.0,39.0,10.0,37,93,279,16493,34518,5833,4438000.0,12304.0,14108.0,850,493201.0,411.0,5.0,83.3,55.8
940780202,Victor Hugo,Villeneuve-Saint-Georges,94,H,2.4499900391280014,48.73498239382411,28.4,10.0,45.0,2.0,65.0,4.0,70.0,10,16,28,35854,3284,610,463750.0,4034.0,11407.0,328,67350.0,56.0,5.0,40.9,34.6
940780203,Secteur Valenton,Villeneuve-Saint-Georges,94,H,2.4559859953408187,48.74442669573958,31.7,10.0,24.0,7.0,95.0,33.0,70.0,4,16,30,19403,10050,5014,3815000.0,4034.0,11407.0,328,423966.0,353.0,5.0,35.5,33.6
751083002,Faubourg du Roule 2,Paris 8e Arrondissement,75,H,2.3039070847518905,48.87698327825742,28.1,10.0,37.0,12.0,95.0,20.0,10.0,37,109,310,29372,16610,2989,2273250.0,12304.0,14108.0,850,287079.0,239.0,5.0,77.1,52.6
940810109,Ferme Nord,Vitry-sur-Seine,94,H,2.4011917566509684,48.78894632988307,29.8,10.0,30.0,7.0,80.0,22.0,70.0,15,28,72,23805,9080,3296,2507750.0,4261.0,5477.0,676,278690.0,232.0,5.0,53.7,41.8
786430101,Bas,Vernouillet,78,H,1.9921375781916375,48.97626616355853,26.8,10.0,32.0,2.0,65.0,14.0,70.0,6,9,11,25655,2243,2081,1582000.0,3716.0,4042.0,77,319654.0,266.0,8.0,43.7,35.2
920630302,Closeaux 2,Rueil-Malmaison,92,H,2.168402071841002,48.87731865823627,34.4,10.0,69.0,5.0,80.0,10.0,50.0,5,20,47,54644,6652,1510,1148000.0,6102.0,6903.0,997,166722.0,139.0,5.0,70.7,52.6
781230104,Les Fleurs,Carrières-sous-Poissy,78,H,2.0203363031234565,48.940814218940574,26.9,20.0,40.0,1.0,50.0,1.0,70.0,3,4,20,31727,755,175,133000.0,3742.0,4145.0,204,47029.0,39.0,14.0,33.4,30.2
920260103,Jean Blot,Courbevoie,92,H,2.258131540050345,48.90385276177543,34.7,10.0,52.0,8.0,95.0,21.0,50.0,23,59,172,41706,11484,3192,2427250.0,6667.0,7231.0,1009,352506.0,294.0,5.0,69.5,52.1
920500301,Lenine Joffre,Nanterre,92,H,2.1928898970753483,48.8866216172824,30.5,10.0,30.0,10.0,95.0,23.0,50.0,21,36,81,23735,13221,3450,2625000.0,5565.0,9042.0,499,291720.0,243.0,5.0,65.1,47.8
920440118,Eiffel 1,Levallois-Perret,92,H,2.29356719235001,48.89066672081584,31.1,10.0,49.0,11.0,95.0,4.0,30.0,28,76,257,39107,14732,662,502250.0,9011.0,10071.0,831,72941.0,61.0,5.0,49.3,40.2
940160102,Cité Jardins,Cachan,94,H,2.321580941047595,48.78887438162769,24.3,10.0,24.0,3.0,65.0,3.0,70.0,13,31,66,19366,3855,447,339500.0,5000.0,5801.0,244,37729.0,31.0,5.0,57.9,41.1
770830302,Picasso-Forestière,Champs-sur-Marne,77,H,2.6058205648564305,48.83666323570215,25.8,10.0,27.0,2.0,65.0,17.0,70.0,8,13,39,21535,2283,2584,1965250.0,3654.0,4243.0,214,218401.0,182.0,5.0,38.1,32.0
